restaurant_id,categorie
lCwqJWMxvIUQt1Re_tDn4w, Breakfast & Brunch
lCwqJWMxvIUQt1Re_tDn4w, Diners
lCwqJWMxvIUQt1Re_tDn4w, American (Traditional)
pd0v6sOqpLhFJ7mkpIaixw, Sandwiches
pd0v6sOqpLhFJ7mkpIaixw, Gluten-Free
pd0v6sOqpLhFJ7mkpIaixw, Vegetarian
pd0v6sOqpLhFJ7mkpIaixw, Vegan
t65yfB9v9fqlhAkLnnUXdg,Vietnamese
t65yfB9v9fqlhAkLnnUXdg, Chinese
i7_JPit-2kAbtRTLkic2jA,Seafood
vMh4madPU3qhNX7P7d8WGA,Pizza
es3Fq9KNp6Ry994x4T4ZYg,Breakfast & Brunch
es3Fq9KNp6Ry994x4T4ZYg, Mexican
es3Fq9KNp6Ry994x4T4ZYg, Bakeries
1vrrpIhpK628PUA0XWWd8g,Breakfast & Brunch
NYKxikYKbkacWumJ82TxzA,Nightlife
NYKxikYKbkacWumJ82TxzA, British
NYKxikYKbkacWumJ82TxzA, Sports Bars
NYKxikYKbkacWumJ82TxzA, Pubs
NYKxikYKbkacWumJ82TxzA, Bars
vVOoL5H8Fr-qlQv-_DdoMA, American (Traditional)
vVOoL5H8Fr-qlQv-_DdoMA, Cajun/Creole
vVOoL5H8Fr-qlQv-_DdoMA, Chicken Wings
x9f9NBMweyyjCQHuc9K4sw, Breakfast & Brunch
x9f9NBMweyyjCQHuc9K4sw, Sandwiches
x9f9NBMweyyjCQHuc9K4sw, Cheese Shops
KWfLQddMBZNoh1bVcgASfA, Halal
KWfLQddMBZNoh1bVcgASfA, Pakistani
KWfLQddMBZNoh1bVcgASfA, Indian
wfiKgzubn1cnVUBODsoJ_w,Bakeries
wfiKgzubn1cnVUBODsoJ_w, Cafes
wfiKgzubn1cnVUBODsoJ_w, Coffee & Tea
r9x6Pvgh7SH7TInybHtl0A,Sushi Bars
r9x6Pvgh7SH7TInybHtl0A, Chinese
b1WGIdd_oSwGYZtC769Shw,Juice Bars & Smoothies
b1WGIdd_oSwGYZtC769Shw, Sandwiches
b1WGIdd_oSwGYZtC769Shw, American (New)
b1WGIdd_oSwGYZtC769Shw, Breakfast & Brunch
-gBRmZwDhsooJzf1I7uPyg, Pizza
Ktia9NJfvxVxTLVcEnw9zQ,Mexican
Ktia9NJfvxVxTLVcEnw9zQ, Event Planning & Services
Ktia9NJfvxVxTLVcEnw9zQ, Caterers
D48b2jHZDuWsnqvFLLvuew,Greek
3jNJMmPNWl6SQD_98fz-bQ, Sandwiches
ufmokEGxGqEWIdvIVsNg_Q,Middle Eastern
ufmokEGxGqEWIdvIVsNg_Q, Mediterranean
ufmokEGxGqEWIdvIVsNg_Q, Persian/Iranian
