restaurant_id,utilisateur_id,nb_compliments,date
VaKXUpmWTTWDKbpJ3aQdMw,UPw5DWs_b-e2JRBS-t37Ag,0,2014-03-27 03:51:24
5KheTjYPu1HcQzQFtm4_vw,jRyO2V1pA4CdVVqCIOPc1Q,0,2011-12-26 01:46:17
r49iBfbnfoK7yt4rdsL_7g,CaFbX7topxdLpBJ_SNDfGQ,0,2016-01-05 06:39:33
qrSsS0pk7SL67MP5nN8tlg,8zXgNCkusOHMwh5Tj_8yCQ,0,2013-12-22 05:10:12
63bHLJUomC22Xdm3IjgBtw,DfvT4F5Eqx9Xr3Ei3GYWPg,0,2011-10-18 18:29:05
wZhB4U003eg2GQ-F7D2D4A,oIHhfloe5VQamDFDB2dr1Q,0,2016-08-12 22:18:07
EZZjaiV8ik05NUepqdeP2A,Fzz-0v1yHLaWuTV64b1miA,0,2018-02-14 21:35:49
7sPNbCx7vGAaH7SbNPZ6oA,lesnCKZUYH554j-EDZBlTw,0,2012-08-02 06:25:54
XP0YZRa6Un25QaOH2g1ivA,TYCkjEHPSJSnFb6m6GDluw,0,2011-12-30 22:00:46
wyPkRQg3F5Yz2WqRFax7-g,r5ggPC6OccLk6dDl5yqsJQ,0,2010-12-18 02:00:22
e5Qw3r7mkwPLcdDzZzTeew,lhPuskGXTRSjCwKOOOYeoA,0,2011-07-12 20:41:17
DkYS3arLOhA8si5uUEmHOw,ZK6aHHTiNlQWCCmv69OXnA,0,2012-11-04 03:58:17
Lzv68iVkRHstVvW3aXNWkA,ge72-Ti-WqR3w0YENY5pRQ,0,2015-09-28 00:55:47
fN_I3jP7RD2llubTvhXtKQ,kkbZPTl9Q4KVwMMBxTCiUQ,0,2017-11-17 17:04:26
FgPANtTwZqXB-edLkZTXQg,Hc2tC2TDMD1wDjp8aCq7jA,0,2010-03-13 20:52:19
yNPh5SO-7wr8HPpVCDPbXQ,AIHzJz0AvTq0FxCLtBhOZA,0,2012-03-23 00:07:55
