restaurant_id,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche
lCwqJWMxvIUQt1Re_tDn4w,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
pd0v6sOqpLhFJ7mkpIaixw,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-22:0,11:0-22:0,11:0-17:0
1vrrpIhpK628PUA0XWWd8g,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0
NYKxikYKbkacWumJ82TxzA,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0
vVOoL5H8Fr-qlQv-_DdoMA,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-23:0,10:0-23:0,10:0-22:0
KWfLQddMBZNoh1bVcgASfA,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0
b1WGIdd_oSwGYZtC769Shw,7:0-21:0,7:0-21:0,7:0-17:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0
-gBRmZwDhsooJzf1I7uPyg,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-2:0,11:0-2:0,11:0-1:0
D48b2jHZDuWsnqvFLLvuew,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-2:0,11:0-2:0,11:0-23:0
3jNJMmPNWl6SQD_98fz-bQ,7:0-1:0,7:0-1:0,7:0-1:0,7:0-1:0,7:0-1:0,9:0-1:0,9:0-0:0
iuGmYUlID2v41SWJnp5B_g,5:30-21:30,5:30-21:30,5:30-21:30,5:30-21:30,5:30-21:30,7:0-21:0,7:0-21:0
VtKYA6Fu1jTDrEhDHRlUvg,0:0-0:0,9:0-20:0,9:0-20:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-18:0
35ET2yviSxhkMmQa89rFKA,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,10:0-2:0,10:0-2:0
sJP0GYO2pi7rwNFFcH7iBQ,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0
h5a8aJ_Pd71JzUGFA-IaAg,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-23:0
ByTWVwFUq5gJ17FhZfZeyQ,9:0-9:0,9:0-9:0,9:0-9:0,9:0-9:0,9:0-9:0,9:0-9:0,9:0-9:0
QhMhM3Mhokv6V-H0MRuYTg,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Ea3BblvC4zzagYI_1cNumA,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-18:0
YLL7tZjII-lsEprbfVkMzQ,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-2:0,11:0-2:0,11:0-0:0
3FlWR_osNPb8dcqLgHebHw,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0
jznYmOdIKRNDxWzyr0BeOA,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0
409qhf4RF0rlxcuaM576Qg,9:30-23:0,9:30-23:0,9:30-23:0,9:30-23:0,9:30-23:0,9:30-23:0,9:30-23:0
o7alpkgY_6m8WvJBdaJDfg,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
5jTmjxb1X34EfcY1gos4tw,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-0:0,10:0-0:0,10:0-22:0
ZQ4iaZ-9952plCoDEryMjA,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
zOhc6cRn1UgNy7EiAdJ2Rw,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,10:0-22:0,11:0-21:0
4-FgbYd8jUSqevNRxRtS-w,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-22:0
ciHtNE7zKzr25IX_L6pNSQ,8:0-20:30,8:0-20:30,8:0-20:30,8:0-20:30,8:0-16:30,11:0-18:30,11:0-18:30
_Gl7RqOkCUQr8kjN8yGf6w,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-4:0,12:0-4:0,12:0-22:0
fI1ZE6z4cyajLW4eqeFgXQ,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
8RaBVWFkysjREG-1itH_pg,6:30-23:0,6:30-23:0,6:30-23:0,6:30-23:0,6:30-0:0,6:30-0:0,6:30-23:0
OwL4BM7GchsxBXxWrkmmqw,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0
rCD-XFLBhscylZdg1OkCSQ,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-22:0,9:0-22:0,9:0-22:0
FXHfcFVEfI1vVngW2gVOpw,17:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,12:0-0:30,12:0-0:30,12:0-23:0
KW-xCBNDm_PJcCgySfBCsw,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0
7jOuytjEa6Q9F_Sy9UR5Hw,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,8:0-22:0,9:0-22:0
5llCyMtS_WyUVKXCtpdaJQ,4:30-20:0,4:30-20:0,4:30-20:0,4:30-20:0,5:0-20:0,5:0-20:0,4:30-20:0
npTomO2iJwilPgn8UOQqrA,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0
y1-FeVRdx0GhgtZKWghKXA,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0
-6sE5v4OrVGmWxdIrbs-RQ,0:0-0:0,12:0-22:30,12:0-23:30,17:0-23:30,12:0-23:30,12:0-23:30,12:0-22:30
D_24gRsnae7guxJE8gLgtw,11:0-22:0,11:0-22:0,11:0-18:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-21:0
Go5NmEeWyTJGqFWBPauZ2w,7:0-17:30,7:0-17:30,7:0-17:30,7:0-17:30,7:0-17:30,8:0-17:0,8:0-17:0
wpHN9iLlhn_z613xJd5uyA,7:0-21:30,7:0-21:30,7:0-21:30,7:0-21:30,7:0-22:0,8:0-22:0,9:0-21:0
4SQvBWjDh_eUx_10M-eigA,11:0-22:30,11:0-22:30,11:0-22:30,11:0-23:0,11:0-23:0,12:0-23:0,11:0-22:0
An-JJle53UMHokU4MwFktg,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
nAnpTnodDchSl9H0f6R2pw,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-0:0,11:0-0:0,11:0-22:0
FirWX-Ep5203TsdiGgShKg,0:0-0:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-0:0,10:0-0:0,10:0-23:0
S2bGqPoTjUc2ywC9FYuBsw,11:0-17:0,11:0-17:0,11:0-17:0,11:0-17:0,11:0-17:0,11:0-17:0,11:0-17:0
99kGGQoig4YaRi-52VtqMA,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0
aJ5Wki-RmbK381OnKvHrnQ,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,9:0-17:0,9:0-17:0
RQdKieW9hqg898d_S2WwRA,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,11:0-21:0,11:0-19:0
JlMYSLiLnpWiihmzZkQS-w,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0
L_ZLtfHvfzfoNVQ0-okTXg,17:30-22:0,17:30-22:0,17:30-22:0,17:30-22:0,17:30-22:0,17:30-22:0,17:30-22:0
Zd5bvGvlSmksBJXrevtxEQ,0:0-0:0,17:0-21:15,17:0-21:15,17:0-22:0,17:0-22:0,17:0-22:0,17:0-21:15
5nyKUHibR4GCs6ojVljFdA,0:0-0:0,11:0-22:30,11:0-22:30,11:0-22:30,11:0-23:30,11:0-23:30,12:0-16:30
ruPFtD9dU6Cv9_wpzIR4UQ,7:0-7:0,7:0-7:0,7:0-7:0,7:0-7:0,7:0-7:0,7:0-7:0,7:0-7:0
CDxxqyH-Gn3luPA8CtlPRg,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-23:0
1PfNM_6ouYvNEbAukY76EQ,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:30,11:30-22:30,11:30-22:0
4v0aj1VWtNwvzOeQ2Ohzrg,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
GqsxdLPqT9XoJ8LFzxGPcw,8:30-2:0,8:30-2:0,8:30-2:0,8:30-2:0,8:30-2:0,11:30-2:0,11:30-2:0
TvOE5wiluPOzf7kbQthVjg,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0
GPVnzRcvlhEK0-c6PImyoA,6:0-20:0,6:0-20:0,6:0-20:0,6:0-20:0,6:0-20:0,6:0-20:0,6:0-20:0
NXcV1HuXbfus0QNdI6UpOA,0:0-0:0,11:0-21:30,11:0-21:30,11:0-21:30,11:0-22:0,11:0-22:0,11:0-21:30
iHo_6xcSj3TvHc8cTU__uA,11:0-3:0,11:0-3:0,11:0-3:0,11:0-3:0,11:0-3:0,11:0-3:0,11:0-3:0
LpwmR1unntc_8KdVfwNH9g,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0
nIMJUT4uZjK7BNhjWhubCA,7:30-21:0,7:30-21:0,7:30-21:0,7:30-21:0,7:30-21:0,8:0-21:0,8:0-21:0
