restaurant_id,nom,ville,moyenne_etoiles,zone,ferme
lCwqJWMxvIUQt1Re_tDn4w,Denny's,Las Vegas,2.5,89110,0
pd0v6sOqpLhFJ7mkpIaixw,Ike's Love & Sandwiches,Phoenix,4.0,85004,0
t65yfB9v9fqlhAkLnnUXdg,Pho U,Toronto,3.5,M5A,0
i7_JPit-2kAbtRTLkic2jA,John & Sons Oyster House,Toronto,4.0,M5H,0
vMh4madPU3qhNX7P7d8WGA,Ray's Pizza II,Phoenix,3.0,85085,0
es3Fq9KNp6Ry994x4T4ZYg,AZTECA Bakeries & Restaurant,Phoenix,4.0,85007,0
1vrrpIhpK628PUA0XWWd8g,Starving Artist,Toronto,3.0,M9W,0
NYKxikYKbkacWumJ82TxzA,Queen Victoria Pub,Toronto,3.5,M1P,0
vVOoL5H8Fr-qlQv-_DdoMA,Popeyes Louisiana Kitchen,Phoenix,2.5,85020,0
x9f9NBMweyyjCQHuc9K4sw,Uptown Brie,Toronto,4.5,M4R,0
KWfLQddMBZNoh1bVcgASfA,Karahi Point,Toronto,4.0,M9V,0
wfiKgzubn1cnVUBODsoJ_w,Tim Hortons,Toronto,2.5,M4M,0
r9x6Pvgh7SH7TInybHtl0A,Oriental Express,Phoenix,3.0,85027,0
b1WGIdd_oSwGYZtC769Shw,Rachel's Kitchen,Las Vegas,4.0,89149,0
-gBRmZwDhsooJzf1I7uPyg,Keele Ur Hunger,Toronto,2.5,M6P,0
Ktia9NJfvxVxTLVcEnw9zQ,Carolina's Mexican Food,Phoenix,4.0,85022,0
D48b2jHZDuWsnqvFLLvuew,Friendly Greek,Toronto,2.5,M4K,0
3jNJMmPNWl6SQD_98fz-bQ,Subway,Toronto,2.0,M2M,0
ufmokEGxGqEWIdvIVsNg_Q,Hafez Persian Cousine,Las Vegas,4.5,89145,0
lP8Qx2Lv0rjgTgDOvs_2Sg,Lee Town,Toronto,3.0,M2N,0
iuGmYUlID2v41SWJnp5B_g,Starbucks,Toronto,3.5,M4Y,0
VtKYA6Fu1jTDrEhDHRlUvg,Mucha Lucha Taco Shop,Phoenix,4.5,85020,0
35ET2yviSxhkMmQa89rFKA,The Jersey Giant,Toronto,3.0,M5E,0
6epbU1SVzUleAVi_sYRw1Q,Subway,Phoenix,3.5,85016,0
sJP0GYO2pi7rwNFFcH7iBQ,Sido Shawarma,Toronto,3.5,M9W,0
h5a8aJ_Pd71JzUGFA-IaAg,Thai BBQ,Las Vegas,3.5,89103,0
ByTWVwFUq5gJ17FhZfZeyQ,Viola's Tavern,Las Vegas,3.5,89103,0
QhMhM3Mhokv6V-H0MRuYTg,McDonald's,Las Vegas,2.0,89119,0
Ea3BblvC4zzagYI_1cNumA,Capriotti's Sandwich Shop,Las Vegas,3.5,89107,0
YLL7tZjII-lsEprbfVkMzQ,Johnny Rockets,Las Vegas,3.5,89117,0
3FlWR_osNPb8dcqLgHebHw,Mimi's Cafe,Las Vegas,3.0,89117,0
jznYmOdIKRNDxWzyr0BeOA,Locals Only,Toronto,3.0,M5V,0
kxo3Zz_JIEUGkJHl9kUiKg,Bymark,Toronto,3.5,M5K,0
409qhf4RF0rlxcuaM576Qg,El Pollo Loco,Las Vegas,2.5,89148,0
o7alpkgY_6m8WvJBdaJDfg,Mexicados Burritos & Bowls,Toronto,4.0,M4M,0
5jTmjxb1X34EfcY1gos4tw,Fatburger,Las Vegas,2.0,89147,0
ZQ4iaZ-9952plCoDEryMjA,OTORO Robata Grill & Sushi,Las Vegas,4.0,89109,0
zOhc6cRn1UgNy7EiAdJ2Rw,Chuck E. Cheese's,Las Vegas,2.5,89128,0
4-FgbYd8jUSqevNRxRtS-w,Rosalinda,Toronto,3.5,M5H,0
4k7qmYCICJP_1FPLoDHDIg,Souvlaki Hut,Toronto,3.0,M9B,0
ciHtNE7zKzr25IX_L6pNSQ,iQ Food,Toronto,4.0,M5J,0
_Gl7RqOkCUQr8kjN8yGf6w,Burrito Gordito,Toronto,4.0,M5V,0
fI1ZE6z4cyajLW4eqeFgXQ,Spice Thai Cafe,Toronto,3.0,M5J,0
7SLZwNRhc2bpUXQXLypTTg,Burger King,Las Vegas,2.0,89130,0
GhVfSRnwSLVyP9BF9hT4ig,Tanto,Toronto,3.5,M6J,0
8RaBVWFkysjREG-1itH_pg,The Coffee Bean & Tea Leaf,Las Vegas,3.5,89109,0
165eSyTOWmpfDfWDXo4f6A,The Chef's House,Toronto,3.5,M5A,0
OwL4BM7GchsxBXxWrkmmqw,Papa Murphy's,Las Vegas,3.0,89130,0
rCD-XFLBhscylZdg1OkCSQ,Salvadoreno Restaurant #2,Phoenix,3.5,85033,0
rLq_OTbzcGay1PHqriDVqw,The Sandwich Delight,Toronto,4.0,M5S,0
FXHfcFVEfI1vVngW2gVOpw,Bampot House of Tea & Board Games,Toronto,4.0,M5S,0
KW-xCBNDm_PJcCgySfBCsw,Taco Bell,Las Vegas,3.5,89104,0
7jOuytjEa6Q9F_Sy9UR5Hw,Subway,Phoenix,3.0,85048,0
5llCyMtS_WyUVKXCtpdaJQ,Starbucks,Las Vegas,3.0,89106,0
CK62JZi0UY5JeHHQyf0ffQ,Jalapeno Grill,Las Vegas,3.0,89146,0
Idy1tSaSqH9oFDX8vkq4_g,Delica Kitchen,Toronto,4.0,M4T,0
npTomO2iJwilPgn8UOQqrA,Queen Margherita Pizza,Toronto,3.5,M6J,0
tFTzpmc1Z_KfG75uCm_c5A,Los Compadres,Las Vegas,4.5,89110,0
y1-FeVRdx0GhgtZKWghKXA,Tortas Manny,Phoenix,5.0,85041,0
-6sE5v4OrVGmWxdIrbs-RQ,Sho Izakaya,Toronto,4.0,M6K,0
D_24gRsnae7guxJE8gLgtw,Cafe 86,Las Vegas,4.5,89118,0
Go5NmEeWyTJGqFWBPauZ2w,Kiva's Bagel Bar,Toronto,3.5,M4V,0
wpHN9iLlhn_z613xJd5uyA,Subway,Las Vegas,2.0,89130,0
4SQvBWjDh_eUx_10M-eigA,Lan Restaurant,Toronto,3.5,M4M,0
b6Rv6vwJPaMAQGuSsqPPPQ,Pho East,Toronto,3.0,M4M,0
IamoMhG184_RXvhSDckFwg,Hamish Kitchen Restaurant,Toronto,4.0,M1L,0
An-JJle53UMHokU4MwFktg,Deer Garden Signatures,Toronto,3.5,M1V,0
T5Y4Mo5fgmU77KrbdRffcw,One Love Vegetarian,Toronto,4.5,M5R,0
nAnpTnodDchSl9H0f6R2pw,Bhoj Indian Cuisine,Toronto,4.0,M5R,0
FirWX-Ep5203TsdiGgShKg,The Vig Uptown,Phoenix,4.0,85014,0
S2bGqPoTjUc2ywC9FYuBsw,H2 EAU,Las Vegas,3.5,89109,0
JpssdgvmNjfBpjIhZMgICA,Subway,Las Vegas,3.5,89102,0
99kGGQoig4YaRi-52VtqMA,Tropical Smoothie Cafe,Las Vegas,2.0,89118,0
oU-Af-_1zT-ewuLfIubN2w,Katsu Japanese Restaurant,Toronto,3.0,M4K,0
aJ5Wki-RmbK381OnKvHrnQ,Luna Cafe,Toronto,4.0,M6J,0
vlLM5FWRWu8uds-5y52y4Q,Seoul Food Co,Toronto,1.5,M5T,0
RQdKieW9hqg898d_S2WwRA,Yogis Grill,Phoenix,3.5,85016,0
JlMYSLiLnpWiihmzZkQS-w,Olive Garden Italian Restaurant,Phoenix,2.5,85035,0
L_ZLtfHvfzfoNVQ0-okTXg,SW Steakhouse,Las Vegas,4.0,89109,0
Zd5bvGvlSmksBJXrevtxEQ,Isaan Der,Toronto,4.0,M6P,0
5nyKUHibR4GCs6ojVljFdA,Spring Sushi,Toronto,3.0,M5B,0
ruPFtD9dU6Cv9_wpzIR4UQ,Coronado Cafe,Las Vegas,3.0,89183,0
