restaurant_id,prix,emporter,livraison,terrasse
lCwqJWMxvIUQt1Re_tDn4w,2,1,0,0
pd0v6sOqpLhFJ7mkpIaixw,2,1,1,1
t65yfB9v9fqlhAkLnnUXdg,1,1,1,0
i7_JPit-2kAbtRTLkic2jA,3,1,0,0
vMh4madPU3qhNX7P7d8WGA,2,1,0,1
es3Fq9KNp6Ry994x4T4ZYg,1,1,0,1
1vrrpIhpK628PUA0XWWd8g,0,1,0,0
NYKxikYKbkacWumJ82TxzA,2,1,0,1
vVOoL5H8Fr-qlQv-_DdoMA,1,1,0,0
x9f9NBMweyyjCQHuc9K4sw,0,1,0,1
KWfLQddMBZNoh1bVcgASfA,2,1,1,0
wfiKgzubn1cnVUBODsoJ_w,1,1,0,1
r9x6Pvgh7SH7TInybHtl0A,1,1,0,0
b1WGIdd_oSwGYZtC769Shw,2,1,0,1
-gBRmZwDhsooJzf1I7uPyg,2,1,0,0
Ktia9NJfvxVxTLVcEnw9zQ,1,1,0,0
D48b2jHZDuWsnqvFLLvuew,2,1,1,1
3jNJMmPNWl6SQD_98fz-bQ,2,1,1,0
ufmokEGxGqEWIdvIVsNg_Q,2,1,0,0
lP8Qx2Lv0rjgTgDOvs_2Sg,1,1,1,0
iuGmYUlID2v41SWJnp5B_g,2,1,0,1
VtKYA6Fu1jTDrEhDHRlUvg,2,1,1,1
35ET2yviSxhkMmQa89rFKA,2,1,0,1
6epbU1SVzUleAVi_sYRw1Q,1,1,0,0
sJP0GYO2pi7rwNFFcH7iBQ,2,1,0,0
h5a8aJ_Pd71JzUGFA-IaAg,2,1,1,0
ByTWVwFUq5gJ17FhZfZeyQ,2,1,0,0
QhMhM3Mhokv6V-H0MRuYTg,1,1,0,1
Ea3BblvC4zzagYI_1cNumA,1,1,0,0
YLL7tZjII-lsEprbfVkMzQ,2,1,0,0
3FlWR_osNPb8dcqLgHebHw,2,1,0,1
jznYmOdIKRNDxWzyr0BeOA,4,0,0,0
kxo3Zz_JIEUGkJHl9kUiKg,3,0,0,1
409qhf4RF0rlxcuaM576Qg,1,1,0,0
o7alpkgY_6m8WvJBdaJDfg,0,1,1,0
5jTmjxb1X34EfcY1gos4tw,2,1,0,0
ZQ4iaZ-9952plCoDEryMjA,3,1,0,0
zOhc6cRn1UgNy7EiAdJ2Rw,2,1,0,0
4-FgbYd8jUSqevNRxRtS-w,2,1,0,0
4k7qmYCICJP_1FPLoDHDIg,2,1,0,0
ciHtNE7zKzr25IX_L6pNSQ,2,1,0,1
_Gl7RqOkCUQr8kjN8yGf6w,1,1,0,0
fI1ZE6z4cyajLW4eqeFgXQ,2,1,1,1
7SLZwNRhc2bpUXQXLypTTg,1,1,0,0
GhVfSRnwSLVyP9BF9hT4ig,3,0,0,0
8RaBVWFkysjREG-1itH_pg,1,1,0,0
165eSyTOWmpfDfWDXo4f6A,3,0,0,0
OwL4BM7GchsxBXxWrkmmqw,1,1,0,0
rCD-XFLBhscylZdg1OkCSQ,1,1,0,0
rLq_OTbzcGay1PHqriDVqw,0,0,0,0
FXHfcFVEfI1vVngW2gVOpw,2,1,0,0
KW-xCBNDm_PJcCgySfBCsw,0,0,0,0
7jOuytjEa6Q9F_Sy9UR5Hw,1,1,0,0
5llCyMtS_WyUVKXCtpdaJQ,2,1,0,1
CK62JZi0UY5JeHHQyf0ffQ,1,0,0,0
Idy1tSaSqH9oFDX8vkq4_g,2,1,0,0
npTomO2iJwilPgn8UOQqrA,2,1,0,0
tFTzpmc1Z_KfG75uCm_c5A,0,0,0,0
y1-FeVRdx0GhgtZKWghKXA,2,1,0,0
-6sE5v4OrVGmWxdIrbs-RQ,0,1,1,0
D_24gRsnae7guxJE8gLgtw,1,1,0,0
Go5NmEeWyTJGqFWBPauZ2w,1,1,1,0
wpHN9iLlhn_z613xJd5uyA,1,1,0,0
4SQvBWjDh_eUx_10M-eigA,2,1,0,0
b6Rv6vwJPaMAQGuSsqPPPQ,2,1,1,0
IamoMhG184_RXvhSDckFwg,1,1,0,0
An-JJle53UMHokU4MwFktg,2,1,0,0
T5Y4Mo5fgmU77KrbdRffcw,2,1,0,0
nAnpTnodDchSl9H0f6R2pw,2,1,1,0
FirWX-Ep5203TsdiGgShKg,2,1,0,1
S2bGqPoTjUc2ywC9FYuBsw,2,0,0,1
JpssdgvmNjfBpjIhZMgICA,1,1,0,0
99kGGQoig4YaRi-52VtqMA,1,1,0,1
oU-Af-_1zT-ewuLfIubN2w,2,1,1,0
aJ5Wki-RmbK381OnKvHrnQ,2,1,0,1
vlLM5FWRWu8uds-5y52y4Q,1,1,0,1
RQdKieW9hqg898d_S2WwRA,1,1,0,0
JlMYSLiLnpWiihmzZkQS-w,2,1,0,0
L_ZLtfHvfzfoNVQ0-okTXg,4,0,0,1
Zd5bvGvlSmksBJXrevtxEQ,2,1,1,0
5nyKUHibR4GCs6ojVljFdA,2,1,0,0
ruPFtD9dU6Cv9_wpzIR4UQ,2,1,0,0
CDxxqyH-Gn3luPA8CtlPRg,2,1,0,0
1PfNM_6ouYvNEbAukY76EQ,2,1,1,0
4v0aj1VWtNwvzOeQ2Ohzrg,0,0,0,0
GqsxdLPqT9XoJ8LFzxGPcw,0,0,0,0
TvOE5wiluPOzf7kbQthVjg,1,1,0,0
MO8vR9uw--ELG5J8CbdZCA,0,1,0,0
ID5wWJ9C7G0hfbQilvlfxA,2,1,0,1
GPVnzRcvlhEK0-c6PImyoA,1,1,0,0
5PlbORAcmUAJ0QCMJRSmDw,4,1,1,1
QaVaKEvRFX6LTM3ier5Fgw,1,1,0,1
NXcV1HuXbfus0QNdI6UpOA,1,1,0,0
iHo_6xcSj3TvHc8cTU__uA,1,1,1,0
bJy-0_F6V7ZX4lz1yU1k8g,1,1,0,1
Piw03nxAXZF86UYaVrDn1g,1,1,0,0
LpwmR1unntc_8KdVfwNH9g,1,1,0,1
2rvBPUBtQU0WfcOAHLQWRQ,1,1,1,0
0YctfylXsdutJo8qFYnZJA,1,1,0,0
d84_mtSFHt8xgYTly2T-9A,2,1,1,0
_fWZH1p8B_lwK4feQgtWkQ,2,0,0,0
9h2FCxdB5uk4bjX3P47L9g,1,1,0,1
nIMJUT4uZjK7BNhjWhubCA,0,0,0,0
_e3rChyednoh47n2cjGv2w,2,1,0,1
p8AwMheeFJ_8pP2EpOAPsA,0,0,0,0
hjDCsuzS_yU60FFffqpt-w,2,1,0,0
EVlKBiHSr2ZUk9GsWwW_Yw,3,1,0,0
v1cbdKF5EjgWSwutjzg-WA,2,1,1,1
uW6UHfONAmm8QttPkbMewQ,2,1,0,0
3oTVApC-eUzpGjrOVxIr5g,2,1,0,1
q5xrVJ4kivx_yEfJeOKNYQ,3,0,0,0
2izBtfTAHSqhdT9Ym88iyg,0,0,0,0
67X6JB3kvZ2B_p8pucgNXA,2,1,0,1
-XKG6GamlSBwy5AcXQGAfA,1,1,0,0
XcwfRFj02ldM71WaeUYlCw,1,0,1,0
OcNrTDq17-pqNCylCeTGIA,1,1,0,0
oBdseQ_SP2Du7oY6-0YUSw,1,1,1,1
RIkiTtRMZASo7DmKd1vd5g,2,1,0,1
KN0gPRzDvA6uVYims2KA0w,1,1,0,0
VrwgzhOy05GpkEwEsKWTDA,2,1,1,1
vl1aHp6pvnSmpoRQShWLjg,2,1,0,0
T5G-WS6ER0TZ4aZou8Kbfw,1,1,0,0
x8b12bxgvyYBFXRq0AIN3A,0,1,1,0
QMKgn9p_hRUlumBDAAfWlA,2,1,0,1
4xSralBJINSqnZaarAUYrw,1,1,0,0
_c3ixq9jYKxhLUB0czi0ug,1,1,0,1
eqg6UyuVLwzAplUvN9UkSw,2,1,0,0
SzhD5J80IhpyeBftzQ950Q,1,1,0,0
g6B5hVt6oZRVO2wR4f0sNw,2,1,0,1
f5O7v_X_jCg2itqacRfxhg,2,0,0,0
X54yOvzhEKyAurDOeQ-BkA,1,0,1,0
8t4RND0dQhO0MBvyuMVkKA,1,1,0,1
maIam6HyU4FB_sBIk9ippA,2,1,0,0
3pGA9YGsDLRQ7HJLw5cwcQ,2,1,0,0
ZoCCW3R_LEAzktU0rMbX8w,1,1,0,1
fseN-tYwcbjtYm7DjjEjLw,1,1,0,0
Z3L06hS8FCJpfEMZXX0udA,0,1,0,0
auDjameQ8PKA2cIwyI5uQA,2,1,0,0
Qe71AVaQZW9EbATLpCec0Q,2,1,0,0
HhVmDybpU7L50Kb5A0jXTg,2,1,0,1
aFQQMQlUIW9KajS6oH5kyw,1,1,1,0
2G8YLx7J8du260jFNjIjZQ,1,1,0,0
TSNvD7vyrknurZ8H05iyVQ,2,1,0,0
0IjBFHFm8M-VPyym-Xrkhw,2,1,0,0
dYJ7uBteyJiNHCLyK1ZOoQ,2,1,0,0
fZVkbNNWjMxuWzNi4Uvufg,1,1,0,1
8neBxgTFrzsZ3gT1lX9KAg,2,1,1,0
X5Q_PKC-AeMrO4uSpnmgGg,2,1,0,0
QMj3DbUwntH6bTRN6PJ-HA,2,1,1,1
o848u4i-UGs1vMnYbEVi8w,2,1,1,0
9xdVIIzHp12Zrox5aFaaHA,2,1,0,0
VmVTDmlLZdwoRVTJO4niaQ,2,1,0,0
8VHLeEC7kH6nwn1HnqwMKQ,1,1,0,0
nddvI420y7BKvp6nO8bfMg,2,1,0,0
IzAuLLI49vgqsGrA0GgYsA,1,1,1,1
eJECvXFIUnfcDE6PzKS2Yw,1,1,0,0
llQfDCKPXBW1-hSb_qUC-g,2,1,0,0
HRZfoNssELsHN0SMmYoMsw,2,1,0,0
joTw5858fDh3Y_rF0NDOsg,2,1,1,1
V9Yta_aOk2-bQm5PiYhOsQ,1,1,0,0
c-Jxth7pZfPqsWwBQ7sn1Q,2,1,1,0
hL1r-Mh-UPOQJ7tbXCd9Yw,2,0,0,0
oGYXSVs0ympLy0ur8Qnp7g,1,1,0,0
8RFT1woy0WnTp62ndVJgow,2,1,0,0
_aCajJli1gSV4VScB0DgIg,2,1,0,0
RqjvlWbx0LScWVZnG_P6SQ,1,1,0,1
GI1F8a__wktcfj6YVjTqAA,2,1,0,0
vG1vX6vvyK6st5UWetPPeg,0,0,0,0
bxcVRvqq37Z_8J0tnL78rA,2,1,0,0
1CR2ddUcjYYwRd5JLtiRrw,2,1,0,1
M85y1RfSCyWZkWR-18YU1Q,1,1,0,0
i-Mn8RJw5xUkITQBVvcKcQ,4,0,0,1
z85R3JrM5xkudu2SZxObPQ,1,1,0,0
-rhH9sL3XGFpoJXcxUpEWA,2,1,0,1
sR9hPrIaG-J-GLcl4yaiLw,2,0,0,0
3w66rzZq_rjA1kSmVt5Hew,1,1,0,0
PbIjlAXsM99Km2SwrDw4aw,2,1,1,0
Xl70366GI5Qao-ORQYCofA,1,1,1,0
q6xbgvr921AQswzVQ3QA-w,2,0,0,0
ECPWFe93D_VWHfsnkVBydg,2,1,0,1
LIU7IcJtD9VieoIo__wd9Q,1,1,1,0
aPd7CFf8zG8OCyQD4cr8Qg,1,1,0,0
P1hYLhzT5rHDpzGkYUaarg,1,0,0,0
rDMptJYWtnMhpQu_rRXHng,1,1,0,0
-HO8ejDGgvj_Guw3R6lH1g,1,1,0,0
LRWNY71pO1KVOK3P6kam8A,1,1,0,0
vNorXQri-4CGVdND6PTplQ,0,0,0,0
Bm8nRUsZ-dK6g2eJLxMTOw,2,1,0,0
oSDZ60KdSkMDQNaHGqvQBA,0,1,1,0
vT812nRctS62PVxUverayw,2,0,0,0
96JZapwKFbOc5MrXLh8E2w,1,1,1,0
eRjcli4nDHRwhByViUz9Ow,2,1,1,0
KyO_DCkbUL1AJSxdgIihUw,3,1,0,1
SXnXItivyE3i3FQbydak-A,2,1,0,1
olllmpQVBHwOQmarQro2fw,2,1,0,0
tH0wF3EPPgAY14lnmK1_Sg,1,1,0,0
sZ3AWH6WPq38fEKijvl9vA,2,1,1,0
CmzJMXgsD7deXT7QSaLi1Q,1,1,1,0
C9QVknXuoDBdR9CBa_Flyw,1,1,1,0
z45xS0Kc6GpiITwrpkRVdQ,3,0,0,0
U-_yRdZqs5W2HNrzD_xvkQ,1,1,0,0
sNVGdeOPeitJ3OWUQBINzQ,2,1,0,0
-OEIW0dO96-492qa_luxaw,2,1,1,0
Mq1_dvcg5mbeplEmCEoUtQ,2,1,0,0
JcAfn8YTNnoAUk9nGaioSg,1,1,0,0
sWaWTnmRgOt6OE4v84y7fw,2,1,0,0
JDwUNHYA_-FvxEMRvHniig,2,1,0,0
ruo16t1qd2aywwUE47Ojnw,2,1,0,0
N0l4hT7UCywbZ9UEZ1R9kQ,2,1,0,0
R8MlQBl08OICEJOvwsw25g,0,0,0,1
1M-oyCcUluxwTid8vbBSdA,1,1,0,0
YCfGBnOZl8mGi7m7oWf4rg,2,0,0,0
8mW3kpRSFvRqFErkNFOicQ,2,1,0,0
ugWB_hkm21s9v8xxAkmNVg,1,1,1,0
DGX2ldVGub9F1EAU9R7C5A,1,1,1,1
oIpR2He8uErAPmdwTwSJyQ,2,1,1,0
3S8nDh3gK2BmG-_HjDjh6w,2,1,1,0
fp8h0LdbO5WxiK41oYgZVA,2,1,1,0
k-NEUIXaPnXtrzCo1MeO7g,1,1,1,1
STtrEGylaYOXoXQFLP5OAQ,2,0,0,1
eEKfOX6KtQmLgb8z-1VfUA,1,1,1,0
Bkkwt8E9MHvgCHn4lUFtow,3,0,0,1
b4LmLgVdbhM-nc1IZc5Weg,3,1,0,1
i98bG3x6orc9TiIw7Xouew,0,1,0,1
kRgAf6j2y1eR0wOFdzFAuw,2,1,0,1
-BxWyEIQ6wypT-37MzZizQ,2,1,0,0
cXgXRqB40CGHEMKQgxLDTg,1,1,0,1
07wrZtaTar8BjJVZlFdYDQ,3,0,0,0
PxNlfFHLRVGKqpN7-vXBTQ,2,1,0,1
iQAwmfMPmOaCr5aeahV1ug,2,1,0,1
wcpS12gLfPz-z11BVhL6jQ,2,1,0,1
4p6Wce7Ed707QS2-yQkvZw,2,1,0,1
s6L6SdVYhPcOQEDmNIg1-g,1,1,1,0
qRymrsLmlA34bC8PvNoujg,2,1,0,1
VA0GbpAN0qpa3bdHJ2a2iA,1,1,0,0
kiBOT50alvcwdwUk6Wc1Rw,0,0,0,0
aZshH0IfszzZyXkoVLPVuw,1,1,1,1
YLeAUkFFJri_21uTkyrVFg,1,1,0,0
4CDBiS3Q1JPk4WicswFPnA,0,1,0,0
SQ8Tkavc4TJj-2kanEDzLg,2,1,1,1
-PKUAor_Nz_IaNjP_jIwyA,2,0,0,1
Eg76PjESw705exvbt_VYjQ,0,0,0,0
Q3SdFs_6P3BPhPPywHZqBQ,2,1,0,0
V58EMoVyTThEaTdOu-xdDA,2,1,1,0
eH4f7_hN8qzamuXBOvVLdg,1,1,0,0
onCx6Ye5IwD07emyj-VLrg,2,1,1,1
hpg2c5vFer85hvTnun2mNg,2,0,0,0
Wv_qGcUKptXkapn8e3j6Kg,1,1,0,0
lHF2DU6Fzg8EDL1tTFvuIA,1,1,0,0
1Vvxx-9AoINg8TJXOZgEHg,2,1,0,0
vLkKorA1gPS97Zj0_WKA0Q,4,0,0,0
sNHseqXVsFUcrn7o9mCUcg,1,1,0,0
ceA0KTze09-0bHpOv0runw,2,1,0,0
DuI8BlpnRRwsmmVMt7Yiww,1,1,1,1
qlPyuJ77Znjh30I2kTs1xQ,2,1,0,0
WN3NSIJQHfxtjf1kV7snVA,1,1,0,0
2ADoawEfSAZpnQSwVEo5Ig,1,1,0,1
kJc7XtQXYit7WNV8m4YDGA,1,1,0,0
X4rqmQMJcpY4EajFAFTSlw,2,1,1,0
pUX9gzo1Tf4vRv7hX0eP1g,1,1,0,0
jLxeBgWhLRbII2ACkgH1Sg,1,1,1,1
orGCyrtYZl9JOV5XIgxJEg,1,1,0,0
FMnH5WIRLyexBYMBUUnDxQ,2,1,0,1
cepfJZIv0iLj1fDs8LdYZg,2,1,1,0
k-PxUoiqD-jxtBOdQ1kF0A,2,0,1,0
u84xKtVRDLuh_P_zXWkzLQ,1,1,0,1
Z1HnNAGBt0y9uZX1a1_9sQ,1,1,0,0
ADyDd_5KBcQc0s3gB381yg,2,1,1,0
2YZTrnj6XdSUz51KT7yo9A,1,1,0,1
85-hoogKT4MR5eTqffpxAA,0,0,0,0
9YF-nxh6xDUvMoOGWSDLkg,0,0,0,0
SIBaomIYVvsMU0GTuqX4vQ,2,1,1,1
o65tYlxYwa8xkEoMr3HwWQ,2,0,0,0
-w3gfqBhE-Cc8NK7ek6Fhg,0,0,0,0
rFs6RvMB5QYR1WwPCtchiw,2,1,1,0
aSHTlWB56c3bWOsRDIj_Hg,1,1,0,0
iwGhazq9eP51PSerTrMrwg,1,1,0,0
4FaRTjXXFdfs1Nn29V9kAg,1,1,0,0
rmD9BPsucgR4q3WiygrjEA,1,1,0,0
oKATEDDmUGDDr-tIbDX5Pg,2,1,0,1
lvyavq4ujrUVMG1pbBCi4Q,2,1,0,1
N4AIlY5runouWKCMurrnvQ,1,1,0,1
a_HejZvHvG2IM7ri1CnlYA,2,1,0,0
IfUPAiF3qMPi27gi-_UZzg,2,1,0,1
ibNxVcSE7peefvDUGEFvzQ,2,1,0,0
vOMDU31gdylrzBhAKC9QbA,3,1,0,0
aWNgOGiyf9jJxWHUd_by-Q,1,1,0,0
Et9tn7nEpEs043pQVa2HZg,1,1,1,0
OOHDPE3tilNC4md8Lcx_4Q,1,1,1,0
-_hk47bgWLbX0SfvBUkoPQ,1,1,0,0
gB4JpmmLKClE1ZFAwFWBJQ,2,1,0,1
S4qTvUJUgL2tIrPV8CYqLQ,0,0,0,0
dht_FLsWVuO6TJeuLqY97g,2,1,0,0
yLiaMaJFq03JxXPk4puloQ,1,1,0,0
jB4mDYca1nhTKe4TzGraKA,3,0,0,0
24IRm_qaeKN5gFVdPb_s8g,1,1,0,0
X02Unmqi8Scq-CL441T2sQ,0,1,0,0
SxelcKtJlN6X2Vlak0wXHw,2,1,0,1
ZzF5098L4xg-0COjng2LVA,2,1,0,0
A-apTF3JfkUPR_oeazZC1Q,2,1,0,0
-Q5b2LGivWP_ZBwSovGCRQ,3,1,0,0
v8Y1Cpdya8H_3noy2M-3Hw,2,1,1,1
T5UBAJt5Kod_wQGbH6m9hA,2,1,0,0
lG759ODx7tj6wbS7rYip1g,2,1,1,0
EEGajOchS2BIZNvJcPK3uw,3,1,0,1
hgc-YJELr_899ExB92z6jw,2,1,0,0
jI9yhdrdCnN-bhzH0WbXbQ,0,1,0,0
W7LceFeOx-8rLLwgXc8UMw,0,1,0,0
Nxg73OigmRQQq0d1pKtkUQ,1,1,0,0
c9eUmcKIfgDaF-WUv4ILVw,2,0,0,1
buk0wVdm_42901qeVIoTrg,0,0,0,0
jUgUFVZzyD6MOlLnB2vJPg,1,1,1,0
PmQqj0wAnraXPuPSZCzEZQ,1,1,0,0
1kHr1RTkm_J-dfrq-HPBug,1,1,0,0
YBec-htc0Obt3_o2BkRbVA,1,1,0,1
aSWwfZ38Vi-805mMEXH_lg,2,1,0,0
Vg4N2DsGrzzoam9jS1L3Wg,1,1,0,0
